CampaignID,AdvertiserName,CampaignName,CampaignStartDate,CampaignEndDate,TargetingCriteria,AdSlotSize,Budget,RemainingBudget
1,Advertiser_1,Campaign_1,2024-10-05,2024-11-16,"Age 24-42, Gaming, India",728x90,183204.2,183204.2
2,Advertiser_1,Campaign_2,2024-10-03,2024-11-13,"Age 23-44, Sports, UK",160x600,81431.52,81431.52
3,Advertiser_1,Campaign_3,2024-10-18,2024-11-04,"Age 22-34, Finance, Australia",300x250,276829.07,276829.07
4,Advertiser_1,Campaign_4,2024-10-04,2024-11-08,"Age 24-45, Health, Germany",300x250,363466.39,363466.39
5,Advertiser_1,Campaign_5,2024-10-06,2024-10-29,"Age 19-38, Health, Australia",300x250,468699.97,468699.97
6,Advertiser_1,Campaign_6,2024-10-19,2024-11-20,"Age 23-32, Health, USA",300x250,397591.61,397591.61
7,Advertiser_1,Campaign_7,2024-10-18,2024-11-24,"Age 19-39, Sports, India",728x90,70262.54,70262.54
8,Advertiser_1,Campaign_8,2024-10-07,2024-10-20,"Age 28-43, Sports, USA",300x250,335783.66,335783.66
9,Advertiser_2,Campaign_9,2024-10-24,2024-12-20,"Age 26-41, Finance, USA",300x250,294502.62,294502.62
10,Advertiser_2,Campaign_10,2024-10-20,2024-11-25,"Age 24-31, Finance, Germany",300x250,420087.34,420087.34
11,Advertiser_2,Campaign_11,2024-10-03,2024-11-28,"Age 24-50, Health, USA",300x250,108034.54,108034.54
12,Advertiser_2,Campaign_12,2024-10-09,2024-10-31,"Age 24-37, Gaming, UK",160x600,339080.65,339080.65
13,Advertiser_2,Campaign_13,2024-10-25,2024-11-05,"Age 19-43, Fashion, USA",300x250,365477.17,365477.17
14,Advertiser_3,Campaign_14,2024-10-01,2024-10-29,"Age 27-31, Finance, UK",300x250,137597.24,137597.24
15,Advertiser_3,Campaign_15,2024-10-18,2024-11-27,"Age 23-37, Travel, Germany",300x250,471861.84,471861.84
16,Advertiser_3,Campaign_16,2024-10-23,2024-11-20,"Age 24-36, Sports, Germany",160x600,64902.88,64902.88
17,Advertiser_3,Campaign_17,2024-10-28,2024-11-20,"Age 19-47, Education, USA",300x250,359306.26,359306.26
18,Advertiser_3,Campaign_18,2024-10-30,2024-12-16,"Age 27-43, Sports, Australia",300x250,399462.88,399462.88
19,Advertiser_3,Campaign_19,2024-10-23,2024-11-12,"Age 29-32, Sports, India",160x600,241189.07,241189.07
20,Advertiser_3,Campaign_20,2024-10-18,2024-12-01,"Age 23-43, Finance, India",160x600,472395.65,472395.65
21,Advertiser_3,Campaign_21,2024-10-28,2024-11-26,"Age 18-42, Travel, USA",160x600,92375.65,92375.65
22,Advertiser_4,Campaign_22,2024-10-10,2024-12-05,"Age 21-46, Education, USA",728x90,470466.51,470466.51
23,Advertiser_4,Campaign_23,2024-10-03,2024-10-18,"Age 21-36, Education, UK",300x250,236807.58,236807.58
24,Advertiser_4,Campaign_24,2024-10-09,2024-12-06,"Age 22-41, Gaming, Australia",160x600,109131.72,109131.72
25,Advertiser_4,Campaign_25,2024-10-09,2024-11-09,"Age 22-32, Sports, Germany",300x250,187093.74,187093.74
26,Advertiser_4,Campaign_26,2024-10-15,2024-10-26,"Age 22-48, Travel, Australia",300x250,155480.87,155480.87
27,Advertiser_4,Campaign_27,2024-10-16,2024-11-19,"Age 18-45, Sports, Germany",300x250,250145.41,250145.41
28,Advertiser_4,Campaign_28,2024-10-18,2024-10-30,"Age 28-49, Travel, Australia",728x90,299631.92,299631.92
