author_id,created_at,text
52620958,2025-08-12T11:52:00.049961+00:00,"As always, Rita Mae Brown's characters come alive for readers.  I don't think it would matter what her characters get into.  They are so well written that readers just want to read more.  Who would have thought that a septagenarian would ma"
34917356,2025-08-12T11:52:00.133817+00:00,"This a great book for any writer. I picked it off a bookstore shelf back in 1980 and it changed my life. Suddenly I knew about structure. It told me what I needed to know. It was the key that opened the door to understanding, not just movie"
14995597,2025-08-12T11:52:00.218087+00:00,"\\""Bad love. Bad love. Don't give me the bad love...\\""    It all starts with this haunting audio cassette message, which leaves Alex Delaware feeling greatly disturbed.    Having read a number of Kellerman's novels, \\""Bad Love\\"" secures"
49927107,2025-08-12T11:52:00.301850+00:00,"This is a benchmark book for interactive design. It separates the design process into information design, interactive design and presentation design. Those who head the process and focus on information design tasks at the beginning of an in"
50869055,2025-08-12T11:52:00.386050+00:00,Comparisions are inevitable. But that doesn't diminish the excellence of this whole-life biography by Robert Farrell. He does take a different tack. It is not quite as personal or intimate as McCollough. I might even venture that it is a bi
50732546,2025-08-12T11:52:00.470988+00:00,"In 1745 Martinique, Master Charles Rabelais informs his slave Mignon Du Plessis that he sold their two preadolescent children.  Distraught, but unable to do anything about his atrocity, Mignon is forced to endure the sexual needs of her own"
49273674,2025-08-12T11:52:00.555939+00:00,"Jean, a sixty-four-year-old spinster, is working her final job as a house-sitter before she retires, tending the lovely, large Walden Manor, not far from Bath.  The owners, who will be in Europe from January through August, have locked cert"
28813471,2025-08-12T11:52:00.639844+00:00,"I have oracle cards by Doreen Virtue, and I aboslutely love this deck. Every deck has a vibration and feel all its own, and this one is no exception. This deck is very empowering and clear with messages for all men and women. I love the God"
25875624,2025-08-12T11:52:00.724182+00:00,"After hearing the title, \\""Babywise,\\"" so much prior to the birth of our daughter, my husband and I decided we'd give our best attempts. But it wasn't just the encouragement from friends and the constant talk about the benefits of followi"
49992673,2025-08-12T11:52:00.809045+00:00,Read this book.  You'll end up laughing and realizing that your day wasn't nearly as bad as Alexander's.  It puts things into perspective.  One of my favorite reads to my child and now a gift to others.
26411104,2025-08-12T11:52:00.893036+00:00,"Understanding Mutual Funds is the only interactive course on mutual funds that's both fun and educational. <br /> <br />Your instructor for this course is from Lipper, a Reuters company - you've probably heard of them. They don't sell mutua"
33757019,2025-08-12T11:52:00.976863+00:00,"My 2-1/2 year old loves the Koala Brothers and has almost everything made for them.  This is her favorite book.  She loves to put the magnets on the book and on the refridgerator.  Very well made, very sturdy book."
40697112,2025-08-12T11:52:01.061123+00:00,"When I first started reading through the first bit of this book and made it to the \\""Frugal, Frugal, Frugal\\"" chapter I had my doubts.  I'm young and I wasn't sure that I wanted to be that \\""frugal\\"" in order to be wealthy later in life"
52329041,2025-08-12T11:52:01.145824+00:00,"As compared with the earlier edition, unfortunately there is very little that is new here. Also, as is true in the earlier edition, there are not enough visual examples of either the building blocks or the arrangements. For the very useful"
12364692,2025-08-12T11:52:01.229916+00:00,"As an agnostic, this book made clear the error of my thinking. (Not my grammar). I'm now an atheist."
15072656,2025-08-12T11:52:01.313898+00:00,"I believe I was mislead.  I ordered the material.  The description described that I would get the DVD, the Participant's guide and the hardcover book for the price of the item.  When just the DVD arrived I felt disappointed."
53001635,2025-08-12T11:52:01.397662+00:00,this book is now listed in my top 10!  i learned so much about afghanistan and how its citizens have suffered first at the hands of the russians and now under the taliban.  the characters are well-developed and human.  i appreciate a main c
24821538,2025-08-12T11:52:01.481837+00:00,"This is the story of a bumbling, optimistic, likeable man who buys a piece of land in Andalucia, Spain, moves there with his quirky wife, becomes a sheepherder, discovers the land's previous owner is still there and won't leave, has a duagh"
52086295,2025-08-12T11:52:01.565857+00:00,"I was disappointed to find that this book is essentially a museum catalog of a specific exhibition. While it is extremely well done as such, the collection of objects it represents is necessarily limited. <br /> <br />I make and design furn"
12129111,2025-08-12T11:52:01.649822+00:00,EVERYONE MUST READ THIS BOOK AND FIGHT THIS PLAN. WHO IN THEIR RIGHT MIND WOULD VOTE FOR MORE TAXES? IT IS OBVIOUS THAT PROPONENTS STAND TO GAIN (LESS TAX) WHILE PROPONENTS STAND TO LOSE (PAY MORE TAX). WHEN THEY REINSTATE THE INCOME TAX AF
30584907,2025-08-12T11:52:01.733835+00:00,This book makes cards making with rubber stamps real ART. The cards are very Uniqe and the instructions are easy to follow.
44152844,2025-08-12T11:52:01.817812+00:00,"7 Golden Keys to Lifelong Vitality is packed with information about nutrition and lifestyle that everyone would benefit from knowing.  Craichy is not only inspirational, he gives practical direction to help achieve and maintain optimal heal"
50706176,2025-08-12T11:52:01.902094+00:00,"James McBride is an African-American journalist, author and saxophonist. Once he was a little boy growing up in a strange chaotic family of twelve kids, and a mother who was--different. Was she black? white? What? She wouldn't talk much abo"
49589430,2025-08-12T11:52:01.986713+00:00,"Super centennial celebration cookbook from those Junior Leaguers who put out such great cookbooks!  There are several recipes in this cookbook \\""to die for\\"", as the expression goes.  Enjoy!"
12134138,2025-08-12T11:52:02.070709+00:00,"\\""2020\\"" will hold your interest from start to finish. I looked forward to the quiet of each night so I could return to the book for the next twist and turn that seemed to come with each passing chapter. The author sets the stage for this"
23509757,2025-08-12T11:52:02.154840+00:00,"I was hoping to buy this book just to occupy my time for the two weeks in October break.  I dont know, but i find it odd that i was able to read this book from start to finish without putting the book down!  I simply loved the book. I have"
50918292,2025-08-12T11:52:02.239001+00:00,I bought this book years ago but only just now read it cover to cover. It allowed me to successfully recapture the inspiration I originally felt when reading about CBGB punk rock. Over the years I've become bored with the subject and needed
25587664,2025-08-12T11:52:02.323892+00:00,"John Sanford has really outdone himself in this newest addition to the Lucas Davenport series.  The book was packed with action and comedy, along with the usual features of a police drama novel.  What I really liked about the book was that"
14443161,2025-08-12T11:52:02.407766+00:00,"If you like dry British wit, you will love this book.<br /><br />The entire book is written in first person, so you automatically place Hugh Laurie in the role of the hero, so it is almost like watching the talented actor at work too, altho"
29487954,2025-08-12T11:52:02.491711+00:00,You won't be ready to stop reading until you finish and then  I read it several more times.  It's a part of history that I lived through and the story just hasn't been told like this before.  Her interviews and descriptions made me feel lik
12132561,2025-08-12T11:52:02.575704+00:00,"This is probably the best book about Debian ever written, but it has a specific target audience: those who are already familiar with GNU/Linux, or at least other unices. <br /> <br />This book is not about GNU/Linux in general, it is about"
18390045,2025-08-12T11:52:02.661082+00:00,"I served in the Marines in the early 1990s, and worked for some of the individuals described in this book, including Col John Toolan and Maj Gen James Mattis. This book does a terrific job on many levels, but one of the best things is to ge"
21224429,2025-08-12T11:52:02.745664+00:00,I purchased this book because it was highly recommended in a Florida Gardening magazine.  I am new to Florida recently moving here from the Northeast.  I was looking for someway to link plants I see in neighbors' yards with what might work
37172633,2025-08-12T11:52:02.829920+00:00,"Este libro ha traido mas luz a nuestro matrimonio. Este libro trae reflexiones para leerlas, hablarlas, escucharlas, y ponerlas en oracion junto a tu pareja dia a dia. Es la oportunidad que muchas parejas buscan de conversar y orar a Dios j"
